383,2616,740.2,1128.8,103.5,88.5,0.8199999928474426,camera14_A
473,2611,701.6,314.4,60.7,91.7,0.8199999928474426,camera13_A
1,2612,490.7,587.5,75.9,113.8,0.9100000262260437,camera9_A
1,2613,442.6,627.8,63.2,104.1,0.8799999952316284,camera9_A
1,2614,355.0,330.2,32.6,68.6,0.8600000143051147,camera9_A
1,2615,182.3,806.8,123.6,77.8,0.7699999809265137,camera9_A
15,2513,464.5,233.9,30.5,56.9,0.8500000238418579,camera15_A
15,2514,716.5,155.1,21.0,51.0,0.8399999737739563,camera15_A
15,2515,821.0,916.0,49.0,68.0,0.7900000214576721,camera15_A
15,2516,836.5,138.5,20.0,34.8,0.7699999809265137,camera15_A
45,2576,807.5,140.8,17.0,36.0,0.8299999833106995,camera16_A
45,2577,799.0,134.9,15.0,32.5,0.8199999928474426,camera16_A
157,2604,859.6,333.9,28.8,46.1,0.8199999928474426,camera8_A
